n	Chess	Checkers	RCube		
249	0.091276	0.159883	0.641809		
250	0.274624	0.472478	0.550235		
251	0.973963	0.228532	0.381197		
252	0.981987	0.735544	0.830741		
253	0.912102	0.592879	0.619596		
254	0.213350	0.624776	0.417037		
255	0.219028	0.262034	0.718757		
256	0.027376	0.437701	0.672435		
257	0.543710	0.829473	0.922588		
258	0.924733	0.531824	0.788955		
259	0.242142	0.525658	0.002229		
260	0.381797	0.665791	0.463699		
261	0.941949	0.112003	0.330497		
262	0.113056	0.619739	0.442768		
263	0.187332	0.961057	0.067946		
264	0.139542	0.314298	0.786053		
265	0.694619	0.342645	0.178824		
266	0.936439	0.717297	0.646259		
267	0.325479	0.828851	0.429348		
268	0.570033	0.168361	0.367408		
269	0.827581	0.848296	0.809622		
270	0.603149	0.964204	0.587426		
271	0.621070	0.768452	0.574764		
272	0.958709	0.926431	0.517358		
273	0.688061	0.520471	0.630392		
274	0.680193	0.072468	0.001905		
275	0.821129	0.414194	0.086560		
276	0.840795	0.609390	0.983159		
277	0.863260	0.982322	0.653055		
278	0.466346	0.086068	0.930284		
279	0.548464	0.045938	0.078584		
280	0.314164	0.658153	0.372383		
281	0.865972	0.090913	0.191535		
282	0.054414	0.229054	0.533360		
283	0.449284	0.004793	0.667639		
284	0.653881	0.606420	0.588118		
285	0.644087	0.494441	0.447292		
286	0.049650	0.949813	0.042127		
287	0.924573	0.152299	0.129970		
288	0.061427	0.646021	0.176258		
289	0.653946	0.873679	0.886589		
290	0.598700	0.913131	0.971953		
291	0.429333	0.253894	0.951433		
292	0.011148	0.322753	0.760209		
293	0.411236	0.984649	0.400640		
294	0.798520	0.053116	0.472207		
295	0.929503	0.557968	0.814544		
296	0.031894	0.342090	0.637254		
297	0.306020	0.472084	0.915969		
298	0.493086	0.375871	0.808334		
299	0.738512	0.897919	0.635437		
300	0.825916	0.506725	0.773434		
301	0.835114	0.914391	0.620115		
302	0.205126	0.687387	0.423061		
303	0.352752	0.848051	0.020392		
304	0.456980	0.787461	0.094387		
305	0.583134	0.705745	0.809687		
306	0.618828	0.879305	0.736672		
307	0.187858	0.436433	0.758650		
308	0.580222	0.322093	0.072242		
309	0.145323	0.004454	0.745555		
310	0.533333	0.718378	0.624823		
311	0.886996	0.475676	0.379765		
312	0.258053	0.690388	0.059539		
313	0.387738	0.552438	0.014864		
314	0.848833	0.098557	0.343816		
315	0.643161	0.240426	0.135763		
316	0.913109	0.739129	0.560182		
317	0.245024	0.030842	0.974885		
318	0.676163	0.404122	0.141056		
319	0.557926	0.487969	0.470623		
320	0.166302	0.246994	0.979168		
321	0.855888	0.929218	0.925332		
322	0.011772	0.128307	0.808373		
323	0.601219	0.539109	0.932267		
324	0.050044	0.775123	0.074418		
325	0.589180	0.281436	0.256617		
326	0.663877	0.079476	0.052721		
327	0.337620	0.424862	0.936344		
328	0.890207	0.088175	0.383482		
329	0.881227	0.986613	0.746939		
330	0.604693	0.116202	0.074209		
331	0.181138	0.704985	0.309367		
332	0.205694	0.439604	0.617574		
333	0.056655	0.718108	0.413143		
334	0.284069	0.030857	0.650426		
335	0.938134	0.563775	0.757452		
336	0.757169	0.527871	0.656832		
337	0.216152	0.145144	0.546905		
338	0.571515	0.308809	0.051373		
339	0.251949	0.800794	0.030467		
340	0.853123	0.597581	0.966790		
341	0.429681	0.992369	0.434336		
342	0.859748	0.673662	0.515545		
343	0.003785	0.317645	0.851123		
344	0.628978	0.738235	0.918293		
345	0.407996	0.260890	0.879614		
346	0.938751	0.162468	0.371518		
347	0.257278	0.831688	0.402421		
348	0.942965	0.308470	0.149696		
349	0.078645	0.017010	0.634014		
350	0.742613	0.886013	0.779765		
351	0.694095	0.702737	0.858521		
352	0.602662	0.605672	0.522006		
353	0.013107	0.313878	0.515604		
354	0.624875	0.649525	0.592349		
355	0.060996	0.929807	0.193449		
356	0.939996	0.156625	0.496587		
357	0.893298	0.759881	0.537559		
358	0.841088	0.818257	0.700359		
359	0.401397	0.567631	0.447592		
360	0.893803	0.507416	0.576933		
361	0.987662	0.606128	0.913272		
362	0.723412	0.444807	0.230336		
363	0.549103	0.884162	0.912109		
364	0.641824	0.226975	0.154293		
365	0.358065	0.683521	0.410157		
366	0.145146	0.294635	0.785296		
367	0.623759	0.764107	0.972829		
368	0.413027	0.239142	0.700731		
369	0.908821	0.436259	0.256616		
370	0.757569	0.093346	0.297465		
371	0.440006	0.036233	0.937455		
372	0.619493	0.635808	0.592259		
373	0.441739	0.352830	0.580479		
374	0.924694	0.328212	0.292354		
375	0.167974	0.111148	0.843344		
376	0.946990	0.141647	0.012668		
377	0.981584	0.019439	0.442495		
378	0.020005	0.716386	0.123021		
379	0.083267	0.255530	0.774860		
380	0.706949	0.341902	0.240165		
381	0.635543	0.764719	0.935220		
382	0.941248	0.878437	0.637970		
383	0.714423	0.398036	0.171535		
384	0.390179	0.873553	0.232782		
385	0.704631	0.412163	0.460114		
386	0.021915	0.446350	0.667994		
387	0.457892	0.419793	0.697744		
388	0.039950	0.979707	0.384846		
389	0.739069	0.133716	0.294213		
390	0.083870	0.358536	0.672824		
391	0.702105	0.995200	0.519550		
392	0.615352	0.244768	0.215926		
393	0.332351	0.799870	0.467158		
394	0.223216	0.869852	0.028997		
395	0.283553	0.837941	0.319085		
396	0.911832	0.140207	0.367171		
397	0.377021	0.051158	0.501946		
398	0.458967	0.356881	0.530939		
399	0.904187	0.811458	0.812972		
400	0.705934	0.402992	0.071109		
401	0.659440	0.073226	0.083102		
402	0.170289	0.450230	0.689872		
403	0.476534	0.022400	0.816575		
404	0.451179	0.368682	0.668358		
405	0.625868	0.070399	0.106460		
406	0.132012	0.636221	0.496801		
407	0.825015	0.854556	0.945992		
408	0.243468	0.989799	0.410177		
409	0.261561	0.882488	0.003565		
410	0.565670	0.549495	0.649227		
411	0.737713	0.778201	0.620969		
412	0.207790	0.436984	0.992981		
413	0.233593	0.818090	0.429304		
414	0.935962	0.287401	0.389068		
415	0.292583	0.471036	0.671283		
416	0.369049	0.004051	0.875166		
417	0.446976	0.756847	0.211559		
418	0.820345	0.517322	0.947882		
419	0.093109	0.912447	0.410714		
420	0.675160	0.486163	0.230942		
421	0.123907	0.045076	0.719522		
422	0.044424	0.606785	0.195222		
423	0.895228	0.323421	0.002405		
424	0.653261	0.596072	0.791028		
425	0.554062	0.300095	0.169905		
426	0.332550	0.753027	0.241972		
427	0.783790	0.969080	0.845289		
428	0.597358	0.041653	0.074378		
429	0.551356	0.756169	0.977938		
430	0.208107	0.873662	0.232299		
431	0.528342	0.117163	0.332502		
432	0.088798	0.907037	0.368559		
433	0.032694	0.323442	0.668244		
434	0.185308	0.756699	0.322249		
435	0.987027	0.892773	0.700526		
436	0.595393	0.618506	0.610295		
437	0.097299	0.356493	0.591256		
438	0.911080	0.355122	0.277653		
439	0.674823	0.651868	0.818039		
440	0.859073	0.472923	0.009260		
441	0.876290	0.688568	0.960255		
442	0.375218	0.568043	0.362959		
443	0.012779	0.014122	0.643651		
444	0.628633	0.343128	0.000822		
445	0.490468	0.315857	0.806522		
446	0.966753	0.997828	0.814051		
447	0.981123	0.682878	0.618017		
448	0.487525	0.923321	0.329945		
449	0.934931	0.079803	0.188775		
450	0.495253	0.947146	0.416320		
451	0.861863	0.469712	0.078560		
452	0.752739	0.940206	0.976866		
453	0.779613	0.442333	0.166897		
454	0.973861	0.818420	0.716355		
455	0.618975	0.437473	0.161010		
456	0.436315	0.297514	0.870006		
457	0.422669	0.862910	0.055676		
458	0.025485	0.418940	0.658246		
459	0.438717	0.601654	0.200283		
460	0.895938	0.521629	0.992723		
461	0.736808	0.055955	0.249977		
462	0.908973	0.473037	0.188504		
463	0.006165	0.681803	0.177280		
464	0.394542	0.329006	0.661031		
465	0.387764	0.707936	0.251814		
466	0.300164	0.286778	0.549929		
467	0.092186	0.737668	0.383241		
468	0.917044	0.495503	0.219058		
469	0.141319	0.882688	0.417307		
470	0.788901	0.781105	0.616555		
471	0.988272	0.899328	0.630188		
472	0.139991	0.655949	0.226865		
473	0.944105	0.983848	0.930960		
474	0.743662	0.428819	0.021489		
475	0.940384	0.911083	0.839353		
476	0.875206	0.354185	0.207561		
477	0.177919	0.672401	0.328075		
478	0.019269	0.089248	0.665978		
479	0.818919	0.545598	0.724014		
480	0.483093	0.262404	0.588499		
481	0.772670	0.503254	0.578053		
482	0.578465	0.438500	0.475207		
483	0.208481	0.189363	0.672279		
484	0.888528	0.785563	0.562055		
485	0.595381	0.133225	0.008120		
486	0.711288	0.171508	0.270767		
487	0.247227	0.940734	0.298651		
488	0.218107	0.951743	0.489861		
489	0.300132	0.083066	0.718249		
490	0.969467	0.566639	0.914547		
491	0.606578	0.476188	0.310397		
492	0.593374	0.146678	0.453725		
493	0.108046	0.611887	0.270066		
494	0.647121	0.147191	0.181994		
495	0.416187	0.861961	0.031521		
496	0.130006	0.226171	0.882381		
497	0.134943	0.863497	0.181274		
498	0.124058	0.746003	0.392408		
499	0.437036	0.692644	0.180178		
500	0.629292	0.183748	0.386470		
501	0.133616	0.636312	0.089517		
502	0.169384	0.834353	0.213967		
503	0.594968	0.403301	0.172430		
504	0.489589	0.986287	0.377626		
505	0.737397	0.172530	0.160188		
506	0.490662	0.211711	0.693500		
507	0.801021	0.213008	0.404641		
508	0.172567	0.072600	0.798447		
509	0.255836	0.802369	0.297453		
510	0.013268	0.176406	0.779872		
511	0.867011	0.535417	0.536602		
512	0.064741	0.183448	0.879102		
513	0.521982	0.956516	0.646308		
514	0.370228	0.938839	0.281790		
515	0.545425	0.139864	0.431211		
516	0.246270	0.670937	0.377619		
517	0.555643	0.202430	0.165947		
518	0.724360	0.047836	0.407005		
519	0.807310	0.921991	0.595709		
520	0.129056	0.992859	0.220790		
521	0.957803	0.766963	0.855866		
522	0.660494	0.806738	0.824063		
523	0.748360	0.765100	0.634456		
524	0.098486	0.419125	0.754701		
525	0.225814	0.355954	0.994775		
526	0.098478	0.027217	0.769861		
527	0.816953	0.122452	0.455315		
528	0.754692	0.683896	0.634123		
529	0.775160	0.052929	0.407421		
530	0.175338	0.783395	0.277393		
531	0.186955	0.432995	0.892629		
532	0.217682	0.285957	0.787138		
533	0.417800	0.456594	0.527440		
534	0.924999	0.789522	0.886578		
535	0.500997	0.535311	0.998275		
536	0.015094	0.904146	0.482799		
537	0.448830	0.613543	0.310726		
538	0.427464	0.155967	0.700571		
539	0.014958	0.170077	0.714556		
540	0.194447	0.546097	0.147551		
541	0.443419	0.400859	0.722261		
542	0.279270	0.592122	0.221814		
543	0.806754	0.659631	0.931096		
544	0.407089	0.206159	0.646463		
545	0.692887	0.711020	0.722361		
546	0.354093	0.652928	0.221053		
547	0.941754	0.317119	0.032435		
548	0.804962	0.092768	0.198182		
549	0.387950	0.773721	0.293826		
550	0.774435	0.487567	0.226173		
551	0.489103	0.340885	0.691291		
552	0.445181	0.917045	0.193707		
553	0.360575	0.476127	0.646884		
554	0.114778	0.692975	0.284741		
555	0.239247	0.044781	0.573787		
556	0.999877	0.386167	0.329073		
557	0.699811	0.738176	0.743575		
558	0.139167	0.141791	0.976177		
559	0.164935	0.006201	0.689785		
560	0.386003	0.629593	0.476108		
561	0.700232	0.354999	0.304324		
562	0.690420	0.257861	0.163430		
563	0.114487	0.372489	0.605308		
564	0.664755	0.155938	0.348108		
565	0.648693	0.411902	0.364589		
566	0.894860	0.777492	0.723821		
567	0.944888	0.956610	0.827261		
568	0.619247	0.453783	0.270886		
569	0.591329	0.621645	0.971473		
570	0.287684	0.016022	0.936409		
571	0.213725	0.181514	0.618908		
572	0.315180	0.811441	0.065535		
573	0.762599	0.603381	0.786171		
574	0.375511	0.426637	0.863741		
575	0.475408	0.861086	0.188845		
576	0.345485	0.969443	0.492580		
577	0.562041	0.927000	0.835516		
578	0.705765	0.021631	0.258186		
579	0.362263	0.318840	0.596556		
580	0.025615	0.542297	0.257620		
581	0.387725	0.848378	0.430428		
582	0.995492	0.999135	0.786882		
583	0.653733	0.502038	0.689948		
584	0.413236	0.056194	0.657979		
585	0.722548	0.541326	0.814318		
586	0.100903	0.561454	0.398050		
587	0.604310	0.428802	0.130211		
588	0.330527	0.734174	0.491785		
589	0.733282	0.935791	0.733664		
590	0.818263	0.109682	0.117687		
591	0.898424	0.665910	0.595923		
592	0.319382	0.567225	0.419040		
593	0.793554	0.631262	0.977104		
594	0.736299	0.733520	0.806042		
595	0.768622	0.720989	0.852620		
596	0.473327	0.723945	0.398787		
597	0.660686	0.301348	0.186113		
598	0.789268	0.678399	0.870293		
599	0.161665	0.983367	0.166567		
600	0.612025	0.397057	0.446846		
601	0.263875	0.404045	0.791921		
602	0.056243	0.906537	0.248689		
603	0.526446	0.823012	0.981479		
604	0.252386	0.584859	0.179639		
605	0.154676	0.340781	0.874887		
606	0.809013	0.399589	0.205985		
607	0.913340	0.096732	0.333471		
608	0.393642	0.708371	0.091937		
609	0.628871	0.331087	0.187175		
610	0.875059	0.487692	0.378743		
611	0.218258	0.763017	0.019893		
612	0.915607	0.156470	0.007414		
613	0.511399	0.937585	0.943244		
614	0.479173	0.729579	0.174406		
615	0.493729	0.908857	0.435060		
616	0.032093	0.359964	0.932500		
617	0.817046	0.420634	0.131276		
618	0.239497	0.638201	0.090647		
619	0.349532	0.180938	0.727751		
620	0.997532	0.755624	0.672546		
621	0.928743	0.632977	0.526492		
622	0.376591	0.783781	0.046426		
623	0.825509	0.529732	0.577318		
624	0.225912	0.930615	0.396172		
625	0.283963	0.631910	0.302508		
626	0.811646	0.582064	0.526233		
627	0.733769	0.598945	0.625306		
628	0.758000	0.172124	0.047905		
629	0.068670	0.999188	0.032571		
630	0.859806	0.959751	0.777663		
631	0.703733	0.494081	0.221258		
632	0.217037	0.681724	0.343843		
633	0.101666	0.449125	0.851654		
634	0.886415	0.565880	0.960925		
635	0.231075	0.055676	0.897500		
636	0.765978	0.171255	0.321051		
637	0.194628	0.321436	0.824618		
638	0.066130	0.721776	0.016061		
639	0.427913	0.489359	0.988713		
640	0.629610	0.245771	0.320944		
641	0.612358	0.483493	0.230737		
642	0.607762	0.554229	0.693065		
643	0.728467	0.950685	0.981453		
644	0.071252	0.570800	0.228476		
645	0.512890	0.028345	0.034186		
646	0.160867	0.338456	0.616566		
647	0.042930	0.757899	0.479097		
648	0.150636	0.613532	0.091041		
649	0.641509	0.125377	0.246454		
650	0.981717	0.817908	0.875375		
651	0.537094	0.421940	0.023798		
652	0.466751	0.931121	0.050133		
653	0.981625	0.918638	0.845020		
654	0.222924	0.487318	0.655901		
655	0.076353	0.505775	0.481419		
656	0.816092	0.616817	0.939554		
657	0.229227	0.358960	0.970177		
658	0.845825	0.617949	0.947704		
659	0.899158	0.656465	0.914626		
660	0.721803	0.205209	0.237926		
661	0.158166	0.213898	0.967930		
662	0.135608	0.507737	0.379413		
663	0.442612	0.437855	0.671669		
664	0.254127	0.686241	0.382692		
665	0.945365	0.951472	0.990859		
666	0.073332	0.367930	0.757523		
667	0.445127	0.583198	0.316169		
668	0.710808	0.573131	0.581693		
669	0.967836	0.560148	0.693367		
670	0.477454	0.189595	0.836821		
671	0.311748	0.774771	0.144628		
672	0.962317	0.403031	0.011717		
673	0.107524	0.154752	0.550925		
674	0.721285	0.600342	0.717697		
675	0.940458	0.124636	0.426358		
676	0.911459	0.035312	0.398536		
677	0.002986	0.261098	0.855706		
678	0.586935	0.186241	0.306854		
679	0.497524	0.952417	0.168785		
680	0.918534	0.812299	0.916181		
681	0.940621	0.020452	0.276474		
682	0.054619	0.063171	0.956419		
683	0.524656	0.168006	0.222351		
684	0.343515	0.189571	0.944742		
685	0.864362	0.359140	0.386917		
686	0.418634	0.428759	0.573547		
687	0.567218	0.734933	0.963085		
688	0.065689	0.999761	0.392120		
689	0.249818	0.803173	0.227766		
690	0.851387	0.498078	0.159205		
691	0.381468	0.479716	0.964159		
692	0.638759	0.819087	0.693014		
693	0.647039	0.282934	0.021415		
694	0.048492	0.036505	0.722578		
695	0.111805	0.090506	0.717491		
696	0.923391	0.584826	0.655283		
697	0.183287	0.031824	0.763085		
698	0.398678	0.737830	0.417063		
699	0.752474	0.873418	0.920753		
700	0.539163	0.713958	0.665084		
701	0.114993	0.261254	0.517480		
702	0.705410	0.782703	0.956231		
703	0.780258	0.481061	0.470387		
704	0.343342	0.612800	0.328506		
705	0.217361	0.370568	0.575265		
706	0.705734	0.240858	0.059297		
707	0.784715	0.150301	0.148791		
708	0.947339	0.449631	0.301692		
709	0.835277	0.934454	0.752479		
710	0.419275	0.361326	0.958269		
711	0.711269	0.266471	0.168939		
712	0.401808	0.189268	0.502675		
713	0.802149	0.186935	0.312787		
714	0.493427	0.618223	0.197322		
715	0.177431	0.243739	0.991178		
716	0.824998	0.734785	0.891211		
717	0.194827	0.012988	0.709110		
718	0.713605	0.340417	0.309096		
719	0.456947	0.361068	0.973594		
720	0.532475	0.928458	0.723356		
721	0.241482	0.526134	0.138943		
722	0.898478	0.375621	0.340924		
723	0.032411	0.820603	0.313947		
724	0.142335	0.658741	0.105332		
725	0.216021	0.240527	0.839484		
726	0.157445	0.360037	0.904384		
727	0.910192	0.238062	0.224162		
728	0.015429	0.892062	0.486058		
729	0.126231	0.389854	0.805312		
730	0.546223	0.728002	0.733069		
731	0.618668	0.754749	0.980363		
732	0.709646	0.507326	0.611495		
733	0.461707	0.457185	0.632926		
734	0.825506	0.727023	0.966098		
735	0.377839	0.800291	0.162419		
736	0.646582	0.777120	0.943262		
737	0.074981	0.409876	0.904434		
738	0.236292	0.585724	0.321065		
739	0.263404	0.240675	0.653979		
740	0.236633	0.484895	0.717899		
741	0.915046	0.724147	0.846553		
742	0.663195	0.842929	0.763195		
743	0.285491	0.035535	0.942625		
744	0.570711	0.798357	0.879277		
745	0.782401	0.673281	0.662258		
746	0.912741	0.460600	0.298259		
747	0.040751	0.020185	0.516596		
748	0.962046	0.825202	0.751128		
749	0.450572	0.227087	0.699955		
750	0.225742	0.442304	0.724453		
751	0.580883	0.971518	0.641307		
752	0.628855	0.785529	0.946595		
753	0.219208	0.859011	0.167582		
754	0.709021	0.034865	0.045970		
755	0.951443	0.698307	0.977580		
756	0.903599	0.103576	0.395682		
757	0.628525	0.093702	0.028232		
758	0.219276	0.467518	0.806899		
759	0.657002	0.010767	0.321044		
760	0.955369	0.833657	0.901120		
761	0.918192	0.358997	0.229847		
762	0.566632	0.927142	0.818628		
763	0.069228	0.210719	0.538782		
764	0.770076	0.107797	0.095947		
765	0.386678	0.719225	0.232979		
766	0.363930	0.739146	0.377944		
767	0.454163	0.763961	0.489923		
768	0.917850	0.313851	0.292753		
769	0.601770	0.246611	0.482324		
770	0.903493	0.620283	0.588950		
771	0.996194	0.689367	0.637359		
772	0.798669	0.749339	0.548373		
773	0.261440	0.956891	0.449099		
774	0.918110	0.898743	0.870184		
775	0.065005	0.743490	0.206662		
776	0.863880	0.831569	0.841864		
